order_id,order_date,dispatch_date,delivery_date,seller_id,product_category,price,quantity,warehouse_zone,customer_rating,review_text,sentiment_score,return_flag,complaint_code,delivery_method,customer_region,delivery_delay,suspicious_review
O00018,2025-06-19,2025-06-19,2025-06-26,s013,groceries,329.03,4.0,lagos,3.0,No review,0.0,0,no complaint,pickup,south west,7,1
O00019,2025-04-17,2025-04-21,2025-04-23,s030,groceries,56.75,3.0,lagos,4.0,No review,0.0,0,no complaint,standard,greater accra,2,1
O00020,2025-06-15,2025-06-15,2025-06-17,s035,groceries,144.61,3.0,kumasi,2.0,No review,0.0,0,no complaint,express,ashanti,2,1
O00021,2025-04-08,2025-04-10,2025-04-18,s050,toys,382.78,2.0,lagos,4.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,pickup,north central,8,1
O00022,2025-05-13,2025-05-17,2025-05-19,s026,home & living,64.34,4.0,lagos,1.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,pickup,volta,2,1
O00023,2025-06-23,2025-06-26,2025-06-30,s028,health,164.03,4.0,lagos,3.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,standard,south west,4,1
O00024,2025-05-02,2025-05-06,2025-05-09,s043,toys,211.09,3.0,accra,5.0,"Delivery was average, product as expected.",-0.125,0,no complaint,pickup,south west,3,1
O00025,2025-06-23,2025-06-26,2025-06-27,s004,home & living,303.44,3.0,lagos,4.0,Fake product and horrible packaging.,-0.75,0,no complaint,express,south east,1,1
O00026,2025-05-23,2025-05-26,2025-05-29,s026,electronics,154.86,1.0,lagos,5.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,pickup,greater accra,3,1
O00027,2025-06-08,2025-06-11,2025-06-19,s003,home & living,274.28,2.0,accra,3.0,Terrible experience. Product was broken.,-0.7,0,no complaint,express,volta,8,1
O00028,2025-05-25,2025-05-27,2025-06-04,s023,home & living,63.93,1.0,kumasi,5.0,Arrived late and the item looks used.,-0.3,0,no complaint,express,south west,8,1
O00029,2025-05-04,2025-05-06,2025-05-14,s045,home & living,431.76,3.0,lagos,4.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,pickup,south east,8,1
O00030,2025-06-03,2025-06-06,2025-06-13,s047,health,349.29,2.0,lagos,5.0,Low quality. Would not recommend at all.,0.0,0,no complaint,pickup,south west,7,1
O00031,2025-04-23,2025-04-23,2025-04-26,s049,health,168.37,4.0,accra,3.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,0,no complaint,standard,north central,3,1
O00032,2025-05-06,2025-05-09,2025-05-15,s023,electronics,486.17,4.0,lagos,4.0,Superb service and product. Will buy again.,1.0,0,no complaint,express,south east,6,1
O00033,2025-05-13,2025-05-13,2025-05-13,s022,home & living,157.43,1.0,kumasi,5.0,"Delivery was average, product as expected.",-0.125,0,no complaint,pickup,ashanti,0,1
O00034,2025-05-30,2025-06-03,2025-06-03,s031,fashion,211.41,3.0,lagos,4.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,pickup,south east,0,1
O00035,2025-05-19,2025-05-22,2025-05-31,s017,health,343.55,1.0,kumasi,5.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,express,south west,9,1
O00036,2025-06-19,2025-06-21,2025-06-28,s036,fashion,128.61,4.0,kano,3.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,express,greater accra,7,1
O00037,2025-05-08,2025-05-12,2025-05-15,s003,groceries,366.83,4.0,kumasi,5.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,0,no complaint,pickup,ashanti,3,1
O00038,2025-05-22,2025-05-22,2025-05-30,s019,electronics,205.42,3.0,kumasi,3.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,standard,ashanti,8,1
O00039,2025-04-13,2025-04-15,2025-04-18,s014,electronics,101.39,1.0,kumasi,3.0,"Delivery was average, product as expected.",-0.125,0,no complaint,pickup,volta,3,1
O00040,2025-06-01,2025-06-03,2025-06-05,s004,home & living,117.92,2.0,kano,3.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,greater accra,2,1
O00041,2025-06-02,2025-06-02,2025-06-09,s021,groceries,57.13,1.0,kano,3.0,No review,0.0,0,no complaint,pickup,ashanti,7,1
O00042,2025-06-05,2025-06-07,2025-06-15,s008,electronics,469.0,1.0,lagos,2.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,standard,north central,8,1
O00043,2025-06-16,2025-06-19,2025-06-28,s037,electronics,439.9,3.0,kumasi,5.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,standard,north central,9,1
O00044,2025-06-23,2025-06-24,2025-06-24,s033,toys,263.15,1.0,accra,1.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,north central,0,1
O00045,2025-05-05,2025-05-05,2025-05-13,s022,health,451.2,3.0,accra,3.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,standard,south west,8,1
O00046,2025-04-20,2025-04-23,2025-04-30,s047,electronics,365.72,3.0,kumasi,3.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,standard,volta,7,1
O00047,2025-04-21,2025-04-23,2025-04-23,s039,home & living,445.01,4.0,accra,2.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,express,ashanti,0,1
O00048,2025-04-13,2025-04-13,2025-04-15,s041,health,307.15,3.0,lagos,5.0,Terrible experience. Product was broken.,-0.7,0,no complaint,express,north central,2,1
O00049,2025-06-04,2025-06-05,2025-06-06,s016,health,149.12,2.0,accra,4.0,Low quality. Would not recommend at all.,0.0,0,no complaint,standard,north central,1,1
O00050,2025-05-27,2025-05-30,2025-05-30,s047,fashion,329.46,1.0,accra,1.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,standard,volta,0,1
O00051,2025-05-19,2025-05-21,2025-05-21,s027,health,97.62,4.0,lagos,3.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,north central,0,1
O00052,2025-05-29,2025-05-31,2025-06-05,s049,toys,275.84,3.0,lagos,3.0,Superb service and product. Will buy again.,1.0,0,no complaint,express,north central,5,1
O00053,2025-05-03,2025-05-07,2025-05-09,s048,home & living,129.55,2.0,lagos,5.0,Terrible experience. Product was broken.,-0.7,0,no complaint,pickup,volta,2,1
O00058,2025-04-16,2025-04-16,2025-04-19,s036,toys,290.42,4.0,lagos,3.0,Fake product and horrible packaging.,-0.75,0,no complaint,standard,greater accra,3,1
O00059,2025-06-23,2025-06-23,2025-06-25,s028,home & living,198.7,3.0,kumasi,2.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,express,south west,2,1
O00060,2025-06-16,2025-06-18,2025-06-25,s001,fashion,468.72,2.0,Unspecified,1.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,pickup,ashanti,7,1
O00061,2025-04-16,2025-04-17,2025-04-26,s023,groceries,338.86,3.0,Unspecified,5.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,0,no complaint,standard,greater accra,9,1
O00062,2025-05-30,2025-05-30,2025-06-04,s038,groceries,372.98,1.0,Unspecified,3.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,pickup,volta,5,1
O00063,2025-06-21,2025-06-22,2025-06-24,s005,toys,153.86,3.0,accra,3.0,Low quality. Would not recommend at all.,0.0,0,no complaint,express,south east,2,1
O00064,2025-05-20,2025-05-21,2025-05-27,s045,groceries,309.64,4.0,accra,4.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,standard,ashanti,6,1
O00065,2025-05-02,2025-05-05,2025-05-07,s007,electronics,401.16,1.0,lagos,3.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,pickup,ashanti,2,1
O00066,2025-06-20,2025-06-22,2025-06-30,s031,home & living,194.04,2.0,lagos,2.0,"Met my expectations, nothing more.",0.5,0,no complaint,standard,south west,8,1
O00067,2025-04-16,2025-04-16,2025-04-19,s008,fashion,421.08,2.0,kano,1.0,"Delivery was average, product as expected.",-0.125,0,no complaint,express,volta,3,1
O00068,2025-05-04,2025-05-04,2025-05-11,s049,fashion,273.17,1.0,kumasi,4.0,"Met my expectations, nothing more.",0.5,0,no complaint,express,greater accra,7,1
O00069,2025-06-10,2025-06-13,2025-06-18,s025,electronics,115.75,1.0,lagos,1.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,standard,volta,5,1
O00070,2025-05-04,2025-05-07,2025-05-08,s038,toys,274.91,3.0,kumasi,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,standard,greater accra,1,1
O00071,2025-06-07,2025-06-09,2025-06-18,s040,electronics,168.25,1.0,kano,1.0,Terrible experience. Product was broken.,-0.7,1,wrong color,express,greater accra,9,1
O00072,2025-04-27,2025-04-27,2025-05-01,s012,home & living,481.7,3.0,accra,1.0,Low quality. Would not recommend at all.,0.0,0,no complaint,standard,ashanti,4,1
O00073,2025-04-20,2025-04-20,2025-04-27,s035,health,226.75,4.0,kumasi,5.0,Arrived late and the item looks used.,-0.3,0,no complaint,express,volta,7,1
O00074,2025-04-15,2025-04-19,2025-04-24,s046,health,322.75,1.0,accra,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,standard,south west,5,1
O00075,2025-04-10,2025-04-12,2025-04-16,s002,groceries,33.38,2.0,accra,2.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,standard,greater accra,4,1
O00076,2025-05-08,2025-05-08,2025-05-11,s004,home & living,54.98,3.0,lagos,2.0,Very disappointed. Not what was shown online.,-0.975,1,broken item,pickup,south east,3,1
O00077,2025-05-26,2025-05-29,2025-05-29,s024,toys,384.05,1.0,accra,4.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,standard,north central,0,1
O00078,2025-04-19,2025-04-20,2025-04-25,s043,health,328.39,2.0,accra,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,pickup,south east,5,1
O00079,2025-06-06,2025-06-07,2025-06-16,s036,home & living,32.2,3.0,kano,5.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,express,north central,9,1
O00080,2025-05-19,2025-05-23,2025-05-26,s030,electronics,255.51,4.0,kumasi,4.0,"Met my expectations, nothing more.",0.5,0,no complaint,express,south east,3,1
O00081,2025-06-24,2025-06-24,2025-06-27,s028,groceries,472.51,2.0,accra,4.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,standard,volta,3,1
O00082,2025-06-04,2025-06-04,2025-06-04,s042,electronics,200.2,4.0,kano,5.0,Fake product and horrible packaging.,-0.75,0,no complaint,pickup,north central,0,1
O00086,2025-04-28,2025-04-28,2025-05-04,s004,health,176.91,3.0,lagos,2.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,greater accra,6,1
O00087,2025-04-30,2025-05-03,2025-05-11,s006,health,318.18,1.0,lagos,5.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,pickup,north central,8,1
O00088,2025-05-20,2025-05-24,2025-06-01,s024,electronics,148.2,2.0,lagos,4.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,volta,8,1
O00089,2025-05-12,2025-05-15,2025-05-16,s048,toys,292.2,3.0,lagos,3.0,Terrible experience. Product was broken.,-0.7,0,no complaint,pickup,north central,1,1
O00090,2025-04-11,2025-04-15,2025-04-15,s008,toys,294.47,3.0,kano,4.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,pickup,south east,0,1
O00091,2025-06-12,2025-06-12,2025-06-12,s002,fashion,372.56,3.0,kumasi,4.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,greater accra,0,1
O00092,2025-05-01,2025-05-05,2025-05-07,s013,toys,253.31,1.0,kano,3.0,"Delivery was average, product as expected.",-0.125,0,no complaint,express,south west,2,1
O00093,2025-06-17,2025-06-19,2025-06-27,s019,toys,15.31,1.0,kumasi,3.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,standard,south east,8,1
O00094,2025-04-11,2025-04-14,2025-04-16,s013,groceries,475.53,4.0,kumasi,4.0,Low quality. Would not recommend at all.,0.0,0,no complaint,pickup,north central,2,1
O00095,2025-04-19,2025-04-21,2025-04-29,s015,groceries,50.81,1.0,kano,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,standard,greater accra,8,1
O00096,2025-05-28,2025-05-28,2025-06-03,s030,health,114.24,1.0,kumasi,1.0,Fake product and horrible packaging.,-0.75,0,no complaint,express,volta,6,1
O00097,2025-06-16,2025-06-17,2025-06-21,s041,fashion,38.2,3.0,kumasi,4.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,greater accra,4,1
O00098,2025-05-29,2025-05-30,2025-06-07,s046,groceries,277.5,3.0,kumasi,4.0,Low quality. Would not recommend at all.,0.0,0,no complaint,pickup,south east,8,1
O00099,2025-06-07,2025-06-11,2025-06-18,s007,groceries,312.93,1.0,kumasi,1.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,pickup,north central,7,1
O00100,2025-06-03,2025-06-07,2025-06-11,s003,home & living,356.06,1.0,lagos,3.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,express,greater accra,4,1
O00101,2025-05-01,2025-05-01,2025-05-06,s015,toys,294.84,1.0,kano,5.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,pickup,ashanti,5,1
O00102,2025-04-27,2025-05-01,2025-05-04,s033,home & living,474.15,1.0,kano,3.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,express,greater accra,3,1
O00103,2025-06-08,2025-06-12,2025-06-17,s015,toys,357.01,3.0,lagos,4.0,No review,-0.75,0,no complaint,pickup,ashanti,5,1
O00104,2025-05-12,2025-05-14,2025-05-15,s008,electronics,131.87,3.0,lagos,4.0,Low quality. Would not recommend at all.,0.0,0,no complaint,standard,volta,1,1
O00105,2025-05-23,2025-05-27,2025-06-04,s034,toys,37.59,4.0,kumasi,4.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,pickup,volta,8,1
O00106,2025-06-21,2025-06-21,2025-06-21,s012,groceries,343.71,4.0,kumasi,1.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,express,south east,0,1
O00107,2025-04-19,2025-04-22,2025-04-26,s014,health,223.8,2.0,accra,1.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,pickup,south east,4,1
O00108,2025-04-14,2025-04-16,2025-04-18,s013,health,460.37,4.0,accra,5.0,Low quality. Would not recommend at all.,0.0,0,no complaint,pickup,volta,2,1
O00109,2025-04-28,2025-04-28,2025-04-28,s045,health,266.32,1.0,kano,4.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,pickup,south east,0,1
O00110,2025-06-08,2025-06-08,2025-06-17,s042,home & living,296.31,4.0,kano,5.0,Fake product and horrible packaging.,-0.75,0,no complaint,express,north central,9,1
O00111,2025-04-09,2025-04-12,2025-04-16,s011,electronics,446.23,4.0,kano,3.0,Fake product and horrible packaging.,-0.75,0,no complaint,standard,greater accra,4,1
O00112,2025-05-02,2025-05-03,2025-05-04,s046,toy,102.18,2.0,Unspecified,3.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,pickup,south east,1,1
O00113,2025-05-15,2025-05-17,2025-05-22,s001,living & home,186.57,4.0,Unspecified,1.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,pickup,south east,5,1
O00114,2025-05-17,2025-05-20,2025-05-22,s050,fashon,211.49,1.0,Unspecified,5.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,standard,south west,2,1
O00115,2025-06-13,2025-06-17,2025-06-25,s019,Unknown,475.4,4.0,kano,3.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,pickup,volta,8,1
O00116,2025-04-25,2025-04-27,2025-05-01,s033,Unknown,467.04,2.0,accra,1.0,"Delivery was average, product as expected.",-0.125,0,no complaint,standard,greater accra,4,1
O00117,2025-04-25,2025-04-25,2025-04-29,s018,Unknown,407.17,4.0,accra,4.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,express,volta,4,1
O00118,2025-05-03,2025-05-05,2025-05-05,s026,home & living,202.56,3.0,accra,5.0,Superb service and product. Will buy again.,1.0,0,no complaint,express,ashanti,0,1
O00119,2025-05-03,2025-05-03,2025-05-07,s039,toys,239.66,3.0,accra,1.0,Low quality. Would not recommend at all.,0.0,0,no complaint,pickup,greater accra,4,1
O00120,2025-06-07,2025-06-11,2025-06-16,s041,fashion,408.32,3.0,accra,5.0,Superb service and product. Will buy again.,1.0,0,no complaint,express,south east,5,1
O00121,2025-04-12,2025-04-16,2025-04-25,s030,health,296.72,1.0,kumasi,5.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,pickup,south west,9,1
O00122,2025-05-22,2025-05-22,2025-05-22,s009,toys,131.2,2.0,accra,5.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,north central,0,1
O00123,2025-06-13,2025-06-13,2025-06-13,s023,home & living,307.03,2.0,kano,4.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,express,south east,0,1
O00124,2025-06-20,2025-06-21,2025-06-30,s027,fashion,32.98,3.0,accra,4.0,Fake product and horrible packaging.,-0.75,0,no complaint,standard,north central,9,1
O00125,2025-06-14,2025-06-15,2025-06-15,s037,health,388.44,3.0,kumasi,4.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,standard,north central,0,1
O00126,2025-04-07,2025-04-09,2025-04-17,s025,electronics,284.86,2.0,lagos,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,standard,greater accra,8,1
O00127,2025-04-16,2025-04-20,2025-04-24,s033,home & living,245.22,3.0,kumasi,4.0,Fake product and horrible packaging.,-0.75,0,no complaint,pickup,north central,4,1
O00128,2025-04-28,2025-05-01,2025-05-02,s028,electronics,404.47,3.0,accra,3.0,Excellent quality and affordable price. Highly recommend.,0.58,0,no complaint,standard,volta,1,1
O00129,2025-05-12,2025-05-14,2025-05-16,s021,fashion,299.06,2.0,kano,5.0,"Met my expectations, nothing more.",0.5,0,no complaint,standard,south east,2,1
O00130,2025-04-11,2025-04-11,2025-04-18,s025,groceries,180.65,2.0,kumasi,5.0,Very disappointed. Not what was shown online.,-0.975,0,none,express,south east,7,1
O00131,2025-06-04,2025-06-06,2025-06-06,s020,groceries,156.0,2.0,accra,5.0,Arrived late and the item looks used.,-0.3,0,no complaint,express,south west,0,1
O00132,2025-04-20,2025-04-20,2025-04-29,s017,home & living,82.07,4.0,lagos,4.0,Fake product and horrible packaging.,-0.75,0,no complaint,standard,ashanti,9,1
O00133,2025-04-28,2025-04-29,2025-05-04,s039,electronics,42.46,1.0,lagos,4.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,standard,south west,5,1
O00136,2025-04-12,2025-04-12,2025-04-14,s020,groceries,98.23,4.0,lagos,5.0,Low quality. Would not recommend at all.,0.0,0,no complaint,standard,ashanti,2,1
O00137,2025-05-24,2025-05-25,2025-06-03,s028,toys,262.47,4.0,kumasi,3.0,"Delivery was average, product as expected.",-0.125,0,no complaint,express,volta,9,1
O00138,2025-05-10,2025-05-13,2025-05-22,s034,home & living,412.68,2.0,accra,2.0,"It's okay, not too bad but not amazing either.",-0.166666667,1,wrong item,express,north central,9,1
O00139,2025-06-22,2025-06-25,2025-07-04,s035,toys,69.11,1.0,kumasi,5.0,No review,0.420833333,0,no complaint,express,north central,9,1
O00140,2025-05-17,2025-05-21,2025-05-29,s016,health,73.09,2.0,lagos,1.0,"Met my expectations, nothing more.",0.5,0,no complaint,pickup,north central,8,1
O00141,2025-06-25,2025-06-27,2025-06-27,s009,health,347.01,4.0,kano,3.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,standard,ashanti,0,1
O00142,2025-06-05,2025-06-07,2025-06-10,s032,fashion,405.04,1.0,lagos,3.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,express,volta,3,1
O00143,2025-05-09,2025-05-10,2025-05-16,s039,electronics,191.53,2.0,lagos,4.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,standard,volta,6,1
O00144,2025-06-05,2025-06-07,2025-06-14,s045,home & living,363.05,2.0,accra,2.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,express,north central,7,1
O00145,2025-05-18,2025-05-21,2025-05-22,s036,home & living,423.78,3.0,kumasi,3.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,express,greater accra,1,1
O00146,2025-04-18,2025-04-18,2025-04-24,s005,electronics,270.98,3.0,kumasi,3.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,standard,south west,6,1
O00147,2025-05-10,2025-05-10,2025-05-16,s042,electronics,19.83,1.0,kumasi,1.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,express,greater accra,6,1
O00148,2025-05-20,2025-05-23,2025-05-31,s038,toys,124.28,1.0,accra,4.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,volta,8,1
O00149,2025-04-27,2025-04-28,2025-05-01,s031,groceries,396.69,1.0,kumasi,4.0,Arrived late and the item looks used.,-0.3,0,no complaint,pickup,north central,3,1
O00150,2025-04-07,2025-04-07,2025-04-09,s048,groceries,297.55,4.0,accra,3.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,standard,south west,2,1
O00151,2025-06-04,2025-06-05,2025-06-06,s037,fashion,175.35,4.0,lagos,3.0,Packaging could be better but the item works fine.,0.458333333,0,no complaint,standard,south west,1,1
O00152,2025-05-08,2025-05-12,2025-05-20,s016,electronics,254.14,2.0,kano,3.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,express,volta,8,1
O00153,2025-06-05,2025-06-08,2025-06-15,s043,fashion,59.87,2.0,kumasi,5.0,No review,0.5,0,no complaint,pickup,north central,7,1
O00154,2025-05-25,2025-05-29,2025-06-01,s005,health,49.31,3.0,lagos,5.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,0,no complaint,express,greater accra,3,1
O00155,2025-04-20,2025-04-23,2025-04-26,s003,toy,449.34,4.0,kumasi,1.0,No review,-0.975,0,no complaint,standard,ashanti,3,1
O00156,2025-04-27,2025-04-29,2025-05-07,s045,living & home,250.47,2.0,lagos,4.0,"Met my expectations, nothing more.",0.5,0,none,standard,ashanti,8,1
O00157,2025-04-22,2025-04-24,2025-04-28,s008,fashon,272.17,2.0,accra,2.0,"Absolutely love this product, great value for money.",0.65,0,no complaint,standard,south east,4,1
O00158,2025-06-20,2025-06-23,2025-06-23,s001,toys,218.46,1.0,kumasi,4.0,Very disappointed. Not what was shown online.,-0.975,0,no complaint,standard,south west,0,1
O00159,2025-05-13,2025-05-17,2025-05-20,s041,toys,356.54,2.0,kano,3.0,"Just received it, will see how it performs over time.",0.0,0,no complaint,standard,south east,3,1
O00160,2025-05-19,2025-05-20,2025-05-27,s046,electronics,301.0,2.0,lagos,2.0,Arrived late and the item looks used.,-0.3,1,wrong color,express,ashanti,7,1
O00161,2025-06-19,2025-06-20,2025-06-23,s044,health,495.08,1.0,kano,3.0,Arrived late and the item looks used.,-0.3,0,no complaint,pickup,south east,3,1
O00162,2025-05-19,2025-05-19,2025-05-26,s005,home & living,343.94,1.0,kumasi,4.0,"Met my expectations, nothing more.",0.5,0,no complaint,pickup,south west,7,1
O00163,2025-06-17,2025-06-17,2025-06-21,s019,electronics,399.2,3.0,kano,5.0,Superb service and product. Will buy again.,1.0,0,no complaint,pickup,greater accra,4,1
O00164,2025-06-01,2025-06-05,2025-06-12,s009,electronics,482.86,2.0,kumasi,5.0,"Met my expectations, nothing more.",0.5,0,no complaint,express,north central,7,1
O00165,2025-05-08,2025-05-10,2025-05-10,s042,fashion,110.45,3.0,lag,4.0,"Delivery was average, product as expected.",-0.125,0,no complaint,express,south west,0,1
O00166,2025-06-23,2025-06-27,2025-07-04,s008,health,291.49,4.0,Unspecified,5.0,Terrible experience. Product was broken.,-0.7,0,no complaint,express,south west,7,1
O00167,2025-06-12,2025-06-14,2025-06-18,s009,health,377.75,4.0,Unspecified,2.0,"It's okay, not too bad but not amazing either.",-0.166666667,0,no complaint,pickup,volta,4,1
O00168,2025-05-10,2025-05-13,2025-05-21,s013,toys,320.54,2.0,Unspecified,5.0,Low quality. Would not recommend at all.,0.0,0,no complaint,standard,north central,8,1
O00169,2025-04-18,2025-04-20,2025-04-25,s030,electronics,202.3,4.0,Unspecified,4.0,Item arrived in perfect condition and works well.,1.0,0,no complaint,pickup,south east,5,1
O00170,2025-06-01,2025-06-01,2025-06-01,s015,toys,224.98,1.0,Unspecified,5.0,Terrible experience. Product was broken.,-0.7,0,no complaint,pickup,ashanti,0,1
O00171,2025-04-10,2025-04-14,2025-04-21,s033,health,198.11,2.0,accra,3.0,"Met my expectations, nothing more.",0.5,0,no complaint,pickup,south west,7,1
O00172,2025-06-10,2025-06-12,2025-06-18,s004,home & living,276.0,2.0,kano,4.0,"Fast delivery, item exactly as described. Very satisfied!",0.420833333,0,no complaint,pickup,south east,6,1
O00173,2025-05-31,2025-06-04,2025-06-04,s038,electronics,349.92,4.0,accra,4.0,No review,-0.3,0,no complaint,pickup,volta,0,1
O00174,2025-04-16,2025-04-20,2025-04-25,s031,health,448.01,4.0,kano,4.0,No review,-0.75,0,no complaint,standard,north central,5,1
O00175,2025-05-24,2025-05-24,2025-05-27,s038,toys,356.42,3.0,lagos,4.0,Terrible experience. Product was broken.,-0.7,0,no complaint,standard,south east,3,1
